no_runs,no_rbi,no_bb,yr_major,cr_runs,cr_rbi,cr_bb,logsalar,team_Baltimore,team_Boston,team_California,team_Chicago,team_Cincinnati,team_Cleveland,team_Detroit,team_Houston,team_KansasCity,team_LosAngeles,team_Milwaukee,team_Minneapolis,team_Montreal,team_NewYork,team_Oakland,team_Philadelphia,team_Pittsburgh,team_SanDiego,team_SanFrancisco,team_Seattle,team_StLouis,team_Texas,team_Toronto,league_National,division_West,position_2B,position_3B,position_C,position_CF,position_LF,position_OF,position_RF,position_SS,position_other,BA,CBA,HRR,CHRR,FP
69,47,54,2,123,92,90,5.217550695612867,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2519083969465648,0.2674897119341564,0.0171755725190839,0.0144032921810699,0.964221824686941
41,23,18,8,166,122,106,5.926926026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2103004291845493,0.2488888888888888,0.0085836909871244,0.0051851851851851,0.9590163934426228
48,56,35,10,266,323,248,6.287598915231664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.2683544303797468,0.247937472861485,0.040506329113924,0.0373425966131133,0.9907529722589168
67,67,53,13,906,926,716,7.07453152329777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2871536523929471,0.2920021470746108,0.0579345088161209,0.0431204151010914,0.984
15,19,15,6,107,114,53,5.447538276957374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1761904761904762,0.2454728370221328,0.0380952380952381,0.0362173038229376,0.9117647058823528
55,58,37,3,77,77,61,4.969784993077122,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.2261904761904762,0.2151702786377708,0.0547619047619047,0.0479876160990712,0.968609865470852
76,84,43,14,743,693,300,6.6200732065,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.2720848056537102,0.2595081967213115,0.03886925795053,0.0214754098360655,0.9869281045751634
101,108,41,5,297,319,117,7.0690234266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.3088923556942278,0.2865194927195866,0.0483619344773791,0.0432127759511507,0.9662162162162162
19,18,11,1,19,18,11,4.248495242,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2372093023255814,0.2372093023255814,0.0186046511627906,0.0186046511627906,0.9097744360902256
70,73,80,14,1072,1050,695,7.3132203871,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2902494331065759,0.3138576779026217,0.0362811791383219,0.0313108614232209,0.9516616314199396
33,52,37,5,195,219,214,5.9532433343,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.2338461538461538,0.2330677290836653,0.0492307692307692,0.047144754316069,0.9963235294117648
81,105,62,13,847,999,680,7.5629778261,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2551020408163265,0.2714827643080983,0.0489795918367346,0.0446973445489031,0.9914802981895634
91,101,64,3,148,173,95,5.3706380281,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.2648083623693379,0.2639593908629442,0.0540069686411149,0.0538071065989847,0.992
30,42,24,18,986,1239,666,6.227932546590215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.2253521126760563,0.274099387726043,0.0492957746478873,0.0495514737291755,0.9615384615384616
91,108,52,6,361,401,224,6.8023947633,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2869127516778523,0.2543675751222921,0.0570469798657718,0.0373864430468204,0.955602536997886
63,54,30,4,102,80,50,5.0434251169,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.25,0.2358133669609079,0.0254237288135593,0.0176544766708701,0.9587955625990492
45,47,26,16,915,1067,546,6.551080335,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.2720848056537102,0.2792397660818713,0.0494699646643109,0.0378654970760233,0.967741935483871
42,36,66,9,429,365,410,6.2822667469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.230392156862745,0.2423733557234816,0.0098039215686274,0.0165127343968653,0.9758883248730964
30,44,20,8,216,208,93,5.8930244743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2599388379204893,0.2654205607476635,0.0091743119266055,0.0074766355140186,0.9583333333333334
49,46,60,15,1070,955,921,6.5975998961,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.2594594594594595,0.2822788434010879,0.0567567567567567,0.033066132264529,0.9403973509933776
36,55,41,20,1172,1267,1057,5.2983173665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.2175141242937853,0.2491968793024323,0.0451977401129943,0.044056906837999,0.9413919413919414
93,58,69,5,247,126,198,5.9914645471,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.2578849721706864,0.2511912865895166,0.0092764378478664,0.0081688223281143,0.9853556485355648
62,33,47,5,284,141,219,5.9914645471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.2470588235294117,0.2480211081794195,0.0323529411764705,0.0277044854881266,0.9796954314720812
42,44,35,11,703,519,256,6.6032660882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.2470588235294117,0.2837108953613808,0.0039215686274509,0.007910823444804,0.9658119658119658
45,36,58,13,681,782,697,6.3262508512496565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.1873015873015873,0.2247166987385075,0.0507936507936507,0.0573016891169553,0.0
37,51,29,5,211,280,138,6.2146080984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2765957446808511,0.2747119466343238,0.0460992907801418,0.0442692540933899,0.993169398907104
54,51,31,8,444,419,240,6.3969296552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.3157894736842105,0.2886465683130211,0.0131578947368421,0.0295060936497754,0.9959349593495936
70,84,42,5,265,316,134,6.4960205579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2705479452054795,0.2697201017811705,0.0256849315068493,0.0245971162001696,0.9887323943661972
72,88,38,7,492,589,263,6.8564619846,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.2964912280701754,0.2868939797549281,0.0368421052631578,0.0372935535428875,0.984126984126984
50,58,25,7,313,377,187,6.6200732065,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.3398692810457516,0.2782667569397427,0.0457516339869281,0.0186188219363574,0.9575070821529744
30,39,31,5,145,154,128,5.695414225,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2454545454545454,0.2523206751054852,0.0454545454545454,0.0337552742616033,0.9029126213592232
22,37,18,18,935,1088,643,5.7838251823,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2517985611510791,0.2895908711383245,0.0251798561151079,0.0264403005844698,0.0
46,24,29,4,72,31,48,4.4716387934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.2224719101123595,0.2087378640776699,0.0022471910112359,0.0016181229773462,0.9774330042313116
18,30,15,9,80,97,61,5.1647859739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.2727272727272727,0.2363067292644757,0.0349650349650349,0.0250391236306729,0.9935064935064936
23,11,18,3,58,37,47,4.4998096703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2162162162162162,0.2385496183206107,0.0216216216216216,0.0133587786259541,0.9801980198019802
107,108,69,6,371,376,238,7.1208484944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2886247877758913,0.2726881720430107,0.0679117147707979,0.0550537634408602,0.9923273657289002
48,36,40,15,581,421,325,6.0637852087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3002915451895043,0.2750115260488704,0.0174927113702623,0.016136468418626,0.9535714285714286
33,18,25,5,139,98,111,5.527320564209444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2429577464788732,0.2565742714996446,0.0035211267605633,0.0042643923240938,0.9812734082397004
65,32,71,2,67,32,71,4.605170186,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.2351598173515981,0.2340909090909091,0.0045662100456621,0.0045454545454545,0.9691780821917808
85,117,65,2,101,130,69,5.1059454739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.24,0.2485632183908045,0.055,0.0545977011494252,0.9584569732937686
108,121,32,4,210,222,68,5.5214609179,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3016591251885369,0.2791983413959917,0.0437405731523378,0.0393918451969592,0.976470588235294
34,23,45,12,702,705,625,7.1701195434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2370689655172413,0.2753688989784336,0.0387931034482758,0.0440408626560726,0.9954614220877458
48,72,55,17,980,1032,854,6.650709745,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.2776617954070981,0.2873394004282655,0.0208768267223382,0.0204764453961456,0.983739837398374
38,19,42,10,557,279,478,6.16074524893112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.215311004784689,0.2373671935734646,0.0,0.0059600932884166,0.9853801169590644
61,74,41,6,273,383,226,6.9160537512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25,0.2540704278682317,0.0397727272727272,0.0367285119273002,0.9919839679358716
18,31,22,14,304,268,298,5.6167710977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24375,0.2551691729323308,0.05,0.0263157894736842,1.0
80,74,32,5,330,326,158,6.6528630294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3055091819699499,0.2880741337630942,0.01669449081803,0.0108783239323126,0.971107544141252
58,38,26,11,450,367,241,6.7452363495,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2736418511066398,0.2753810384913459,0.0140845070422535,0.0103332472229398,0.9848714069591528
32,51,28,15,544,462,551,5.8998973536,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333333333333333,0.2797029702970297,0.0619047619047619,0.024009900990099,0.0
32,26,26,11,202,185,257,6.007919646322116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2711111111111111,0.2602040816326531,0.0222222222222222,0.0159438775510204,1.0
26,21,19,2,45,39,35,4.5538768916,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.271523178807947,0.2361111111111111,0.0264900662251655,0.03125,0.9767441860465116
33,38,45,1,33,38,45,4.7004803658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.3093525179856115,0.3093525179856115,0.014388489208633,0.014388489208633,0.9814814814814816
48,42,20,10,379,428,221,4.605170186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.2785923753665689,0.2726045883940621,0.0175953079178885,0.027327935222672,0.9700598802395208
58,88,47,10,302,351,174,5.6258209332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.2737430167597765,0.2660349854227405,0.0428305400372439,0.0353498542274052,0.94579945799458
56,34,34,5,89,48,54,4.3820266347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.2556390977443609,0.2492537313432835,0.0075187969924812,0.0059701492537313,0.9865470852017936
37,32,26,13,616,522,436,6.3969296552,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.3042071197411003,0.2880034647033347,0.0161812297734627,0.0123430056301429,0.9820359281437124
60,19,28,4,126,44,55,5.043857313934528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2493765586034912,0.271689497716895,0.0049875311720698,0.002283105022831,0.9807692307692308
35,46,23,15,730,741,497,6.069261849362706,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2767857142857143,0.2785949126146392,0.0267857142857142,0.0221491607544557,0.0
83,107,32,3,181,227,82,5.2983173665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2646103896103896,0.2623521224773834,0.0438311688311688,0.0452331245650661,0.9653579676674364
24,26,17,12,100,125,63,5.569542799874923,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2146118721461187,0.2407407407407407,0.0365296803652968,0.0193602693602693,0.9875776397515528
67,78,58,6,366,337,218,6.4876840185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.3005181347150259,0.2882410743530953,0.0120898100172711,0.0104814936128398,0.993455497382199
13,9,16,3,18,10,18,4.3174881135,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2363636363636363,0.2244897959183673,0.0121212121212121,0.010204081632653,0.9943342776203966
98,110,62,13,1104,1289,564,7.7884188332,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3236245954692556,0.3034937561386278,0.0323624595469255,0.0492493335204153,0.9774011299435028
31,26,32,14,518,324,382,5.5214609179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.2568093385214007,0.250383631713555,0.0194552529182879,0.0084398976982097,0.947565543071161
35,60,25,3,68,94,55,5.0434251169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2412698412698412,0.2396825396825397,0.0412698412698412,0.0380952380952381,0.9763636363636364
90,78,26,4,310,226,91,6.4614681764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.2656514382402707,0.2678217821782178,0.027072758037225,0.0257425742574257,0.9668874172185432
54,49,18,6,188,135,63,5.7037824747,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2277227722772277,0.2400295420974889,0.0272277227722772,0.0221565731166912,0.978448275862069
23,37,16,4,38,46,28,4.7004803658,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2317460317460317,0.24,0.0158730158730158,0.0133333333333333,0.9877551020408164
32,19,20,4,97,48,44,5.107149428839358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2771084337349397,0.2977207977207977,0.0240963855421686,0.0142450142450142,0.9823008849557522
41,42,57,13,578,579,644,6.7153833863,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2121212121212121,0.2499105545617173,0.0279720279720279,0.0148479427549195,0.9945652173913044
28,44,18,2,31,46,20,4.474790492279683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2547169811320754,0.2532188841201717,0.0613207547169811,0.055793991416309,0.981549815498155
46,43,61,3,96,72,91,5.2729995586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.2229580573951435,0.229957805907173,0.0066225165562913,0.0063291139240506,0.9774330042313116
17,26,22,3,77,99,76,5.048208628786774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2670807453416149,0.2531824611032532,0.0248447204968944,0.0297029702970297,0.9936305732484076
20,28,18,11,419,382,304,6.1092475828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.2554347826086957,0.2675082657048392,0.0271739130434782,0.0222422602945596,1.0
83,79,38,5,219,195,82,6.4457198194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.311336717428088,0.2735346358792184,0.0338409475465313,0.0236826524570751,0.984375
34,23,22,1,34,23,22,4.4601444139,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.3204419889502762,0.3204419889502762,0.0331491712707182,0.0331491712707182,0.967032967032967
84,86,68,8,433,420,309,7.1701195434,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2675736961451247,0.2754315093646713,0.0634920634920634,0.0462724935732647,0.9896907216494846
69,58,35,14,983,707,600,6.907755279,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3061224489795918,0.3001958863858961,0.0428571428571428,0.0197518772445315,0.971153846153846
94,83,94,13,969,900,917,7.4955419439,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3103448275862069,0.3021346469622332,0.0235934664246823,0.0210180623973727,0.9963045084996304
85,91,71,6,405,474,319,7.1777824162,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2672727272727273,0.2894176136363636,0.0527272727272727,0.0415482954545454,0.9924924924924924
34,29,22,10,505,456,283,6.6032660882,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.2614840989399293,0.2709874968104108,0.0141342756183745,0.0216892064302117,0.9554140127388536
89,96,66,4,233,260,155,6.4377516497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.2875,0.2627166014533258,0.0464285714285714,0.0363331470095025,0.9770773638968482
51,43,33,2,51,44,33,4.8283137373,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2774390243902439,0.2748538011695906,0.0365853658536585,0.0350877192982456,0.9622641509433962
72,79,53,9,363,477,295,6.9501756754,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2713310580204778,0.2855288773523686,0.0204778156996587,0.026930564568462,0.9797979797979798
62,48,83,10,408,303,414,6.5861716549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.2703777335984095,0.2833771545427987,0.0099403578528827,0.0058428279287175,0.9758308157099698
69,64,88,7,150,156,187,5.7037824747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2470930232558139,0.2349066959385291,0.0697674418604651,0.0702524698133918,0.0
119,96,34,3,262,201,91,5.8998973536,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.3279411764705882,0.304460580912863,0.0455882352941176,0.0181535269709543,0.9864559819413092
31,26,30,1,31,26,30,4.3174881135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.2293906810035842,0.2293906810035842,0.0,0.0,0.951219512195122
66,65,67,7,436,458,377,7.0760903121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.262396694214876,0.2807717897538256,0.0413223140495867,0.0385894876912841,0.9946889226100152
77,45,58,2,117,64,88,5.3107398865,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.2946635730858468,0.280359820089955,0.0185614849187935,0.0134932533733133,0.9897959183673468
33,37,27,12,557,483,307,5.4161004022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2473498233215547,0.2728287564188434,0.0282685512367491,0.0209868274168341,0.9875
77,47,37,15,615,430,340,6.2633982626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2871690427698574,0.2889769284549056,0.0224032586558044,0.0195758564437194,0.9919678714859438
26,28,21,6,113,119,87,5.579729826,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.2613065326633166,0.2372670807453416,0.0452261306532663,0.0372670807453416,0.9809160305343512
89,86,64,7,513,471,351,6.6688633707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.2529711375212224,0.2608206857785272,0.0356536502546689,0.0286677908937605,0.9843342036553524
53,62,38,10,577,700,334,6.6846117277,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2568807339449541,0.2628130119354084,0.0672782874617737,0.0496138544348233,0.988826815642458
67,94,52,13,740,840,452,6.375876246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.2758620689655172,0.2662549322353748,0.0603448275862069,0.0360267627380339,0.0
20,13,17,1,20,13,17,4.284552514142863,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.2048192771084337,0.2048192771084337,0.0,0.0,0.953125
42,60,21,3,88,112,50,4.9767337424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.272189349112426,0.2712609970674486,0.0532544378698224,0.0527859237536656,0.0
80,44,46,9,571,289,326,6.5524543241465665,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.2874015748031496,0.2906607369758577,0.0157480314960629,0.0130241423125794,0.9652509652509652
95,73,63,10,724,522,576,6.0402547113,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2688356164383562,0.2806122448979591,0.0342465753424657,0.0197704081632653,0.9844632768361582
27,25,33,1,27,25,33,4.3174881135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.0092592592592592,0.0092592592592592,0.9971751412429378
94,60,65,5,216,163,166,6.3543700408,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2864,0.2806603773584906,0.0064,0.0070754716981132,0.9817470664928292
18,26,27,4,101,110,76,5.465270653128251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2181069958847736,0.2672919109026964,0.0164609053497942,0.0269636576787807,0.9734513274336284
